log_id,pid,syscall,key,arguments
17467803,45081,execve,CONF_T1548.003_5,"55cdbd5dc328, 55cdbd5dd0f8, 55cdbd5d63d0, 0"
17467804,45082,execve,CONF_T1078.003_38,"563fcc415a30, 563fcc40f680, 563fcc410460, 1b6"
17467805,45082,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7fc148847350"
17467806,45082,openat,CONFFILE_T1548.003_3,"ffffff9c, 7fc148288f50, 0, 0"
17467807,45082,openat,CONFFILE_T1087.001_4,"ffffff9c, 7fc1482a91a1, 80000, 0"
17467808,45082,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7fc148847350"
17467809,45082,setuid,CONF_T1548.001_29,"0, 7, 7fc148ae8c24, 7fc148847350"
17467810,45082,setgid,CONF_T1548.001_29,"0, 3a1383f7, 7fc148ae584d, 7fc148847350"
17467811,45083,setresuid,CONF_T1548.003_4,"0, 0, 0, 7fc148847350"
17467812,45083,execve,CONF_T1548.003_5,"55cc21aef328, 55cc21af00f8, 55cc21ae93d0, 0"
17467813,45084,execve,CONF_T1078.003_38,"563fcc4264a0, 563fcc426380, 563fcc410460, 1b6"
17467814,45084,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7f06aea39350"
17467815,45084,openat,CONFFILE_T1548.003_3,"ffffff9c, 7f06ae47af50, 0, 0"
17467816,45084,openat,CONFFILE_T1087.001_4,"ffffff9c, 7f06ae49b1a1, 80000, 0"
17467817,45084,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7f06aea39350"
17467818,45084,setuid,CONF_T1548.001_29,"0, 7, 7f06aecdac24, 7f06aea39350"
17467819,45084,setgid,CONF_T1548.001_29,"0, 3a1383f7, 7f06aecd784d, 7f06aea39350"
17467820,45085,setresuid,CONF_T1548.003_4,"0, 0, 0, 7f06aea39350"
17467821,45085,execve,CONF_T1548.003_5,"56430167f328, 5643016800f8, 5643016793d0, 0"
17467822,45086,execve,CONF_T1078.003_38,"563fcc425bf0, 563fcc4262d0, 563fcc410460, 1b6"
17467823,45086,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7f77d78a6350"
17467824,45086,openat,CONFFILE_T1548.003_3,"ffffff9c, 7f77d72e7f50, 0, 0"
17467825,45086,openat,CONFFILE_T1087.001_4,"ffffff9c, 7f77d73081a1, 80000, 0"
17467826,45086,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7f77d78a6350"
17467827,45086,setuid,CONF_T1548.001_29,"0, 7, 7f77d7b47c24, 7f77d78a6350"
17467828,45086,setgid,CONF_T1548.001_29,"0, 3a1383f7, 7f77d7b4484d, 7f77d78a6350"
17467829,45087,setresuid,CONF_T1548.003_4,"0, 0, 0, 7f77d78a6350"
17467830,45087,execve,CONF_T1548.003_5,"557d832b3328, 557d832b40f8, 557d832ad3d0, 0"
17467831,45088,execve,CONF_T1078.003_38,"563fcc426790, 563fcc40f680, 563fcc410460, 1b6"
17467832,45088,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7f5cc7405350"
17467833,45088,openat,CONFFILE_T1548.003_3,"ffffff9c, 7f5cc6e46f50, 0, 0"
17467834,45088,openat,CONFFILE_T1087.001_4,"ffffff9c, 7f5cc6e671a1, 80000, 0"
17467835,45088,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7f5cc7405350"
17467836,45088,setuid,CONF_T1548.001_29,"0, 7, 7f5cc76a6c24, 7f5cc7405350"
17467837,45088,setgid,CONF_T1548.001_29,"0, 3a1383f7, 7f5cc76a384d, 7f5cc7405350"
17467838,45089,setresuid,CONF_T1548.003_4,"0, 0, 0, 7f5cc7405350"
17467839,45089,execve,CONF_T1548.003_5,"5558cc091328, 5558cc0920f8, 5558cc08b3d0, 0"
17467840,45089,openat,CUSTOM_SECRET_FILE,"ffffff9c, 55952cbf3010, 0, 0"
17467841,45089,openat,CONF_T1548.003_5,"ffffff9c, 55952cbf303b, 241, 1b6"
17467842,45090,execve,CMD_T1059_1,"563fcc40e410, 563fcc40f6c0, 563fcc410460, 8"
17467843,45091,execve,CONF_T1078.003_38,"563fcc427650, 563fcc427710, 563fcc410460, 8"
17467844,45091,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7f8786263350"
17467845,45091,openat,CONFFILE_T1548.003_3,"ffffff9c, 7f8785ca4f50, 0, 0"
17467846,45091,openat,CONFFILE_T1087.001_4,"ffffff9c, 7f8785cc51a1, 80000, 0"
17467847,45091,setresuid,CONF_T1548.003_4,"0, ffffffff, ffffffff, 7f8786263350"
17467848,45091,setuid,CONF_T1548.001_29,"0, 7, 7f8786504c24, 7f8786263350"
17467849,45091,setgid,CONF_T1548.001_29,"0, 3a1383f7, 7f878650184d, 7f8786263350"
17467850,45093,setresuid,CONF_T1548.003_4,"0, 0, 0, 7f8786263350"
17467851,45093,execve,CONF_T1548.003_5,"5601cc092328, 5601cc09adb8, 5601cc08c3d0, 0"
17467852,45093,openat,CONF_T1548.003_5,"ffffff9c, 56140ee0e640, 441, 1a4"
17467853,45093,openat,CONF_T1548.003_5,"ffffff9c, 56140ee0f962, 0, 0"
17467854,45093,openat,CONF_T1548.003_5,"ffffff9c, 56140ee23d54, 0, 0"
