log_id,filepath
17463588,/lib64/ld-linux-x86-64.so.2
17463589,/home/student/Downloads/program3
17463590,/usr/bin/curl
17463590,/lib64/ld-linux-x86-64.so.2
17463591,/usr/bin/chmod
17463591,/lib64/ld-linux-x86-64.so.2
17463592,/home/student/Downloads/program4
17463593,/usr/bin/curl
17463593,/lib64/ld-linux-x86-64.so.2
17463594,/usr/bin/chmod
17463594,/lib64/ld-linux-x86-64.so.2
17463595,/home/student/Downloads/program5
17463596,/usr/bin/curl
17463596,/lib64/ld-linux-x86-64.so.2
17463597,/usr/bin/chmod
17463597,/lib64/ld-linux-x86-64.so.2
17463598,/home/student/Downloads/program6
17463599,/usr/bin/curl
17463599,/lib64/ld-linux-x86-64.so.2
17463600,/usr/bin/chmod
17463600,/lib64/ld-linux-x86-64.so.2
17463601,/home/student/Downloads/program7
17463602,/usr/bin/curl
17463602,/lib64/ld-linux-x86-64.so.2
17463603,/usr/bin/chmod
17463603,/lib64/ld-linux-x86-64.so.2
17463604,/home/student/Downloads/program8
17463605,/usr/bin/curl
17463605,/lib64/ld-linux-x86-64.so.2
17463606,/usr/bin/chmod
17463606,/lib64/ld-linux-x86-64.so.2
17463607,/home/student/Downloads/program9
17463608,/usr/bin/curl
17463608,/lib64/ld-linux-x86-64.so.2
17463609,/usr/libexec/tracker-extract
17463609,/lib64/ld-linux-x86-64.so.2
17463610,/usr/bin/chmod
17463610,/lib64/ld-linux-x86-64.so.2
17463611,/home/student/Downloads/program10
17463612,/usr/bin/curl
17463612,/lib64/ld-linux-x86-64.so.2
17463613,/usr/bin/chmod
17463613,/lib64/ld-linux-x86-64.so.2
17463614,/home/student/Downloads/program11
17463615,/usr/bin/seq
17463615,/lib64/ld-linux-x86-64.so.2
17463616,/usr/bin/sudo
17463616,/lib64/ld-linux-x86-64.so.2
17463618,/etc/sudoers
17463619,/etc/shadow
17463624,/home/student/Downloads/program1
17463624,/lib64/ld-linux-x86-64.so.2
17463625,/usr/bin/sudo
17463625,/lib64/ld-linux-x86-64.so.2
17463627,/etc/sudoers
17463628,/etc/shadow
17463633,/home/student/Downloads/program2
17463633,/lib64/ld-linux-x86-64.so.2
17463634,/usr/bin/sudo
17463634,/lib64/ld-linux-x86-64.so.2
17463636,/etc/sudoers
17463637,/etc/shadow
17463642,/home/student/Downloads/program3
17463642,/lib64/ld-linux-x86-64.so.2
17463643,/usr/bin/sudo
17463643,/lib64/ld-linux-x86-64.so.2
17463645,/etc/sudoers
17463646,/etc/shadow
17463651,/home/student/Downloads/program4
17463651,/lib64/ld-linux-x86-64.so.2
17463652,/usr/bin/sudo
17463652,/lib64/ld-linux-x86-64.so.2
17463654,/etc/sudoers
17463655,/etc/shadow
17463660,/home/student/Downloads/program5
17463660,/lib64/ld-linux-x86-64.so.2
17463661,/usr/bin/sudo
17463661,/lib64/ld-linux-x86-64.so.2
17463663,/etc/sudoers
17463664,/etc/shadow
17463669,/home/student/Downloads/program6
17463669,/lib64/ld-linux-x86-64.so.2
17463670,/usr/bin/sudo
17463670,/lib64/ld-linux-x86-64.so.2
17463672,/etc/sudoers
17463673,/etc/shadow
17463678,/home/student/Downloads/program7
17463678,/lib64/ld-linux-x86-64.so.2
17463679,/usr/bin/sudo
17463679,/lib64/ld-linux-x86-64.so.2
17463681,/etc/sudoers
17463682,/etc/shadow
17463687,/home/student/Downloads/program8
17463687,/lib64/ld-linux-x86-64.so.2
17463688,/usr/bin/sudo
17463688,/lib64/ld-linux-x86-64.so.2
17463690,/etc/sudoers
17463691,/etc/shadow
17463696,/home/student/Downloads/program9
17463696,/lib64/ld-linux-x86-64.so.2
17463697,/usr/bin/sudo
17463697,/lib64/ld-linux-x86-64.so.2
17463699,/etc/sudoers
17463700,/etc/shadow
17463705,/home/student/Downloads/program10
17463705,/lib64/ld-linux-x86-64.so.2
17463706,/usr/bin/sudo
17463706,/lib64/ld-linux-x86-64.so.2
17463708,/etc/sudoers
17463709,/etc/shadow
17463714,/home/student/Downloads/program11
17463714,/lib64/ld-linux-x86-64.so.2
17463715,/home/student/secret/secret.txt
17463716,/home/attacker/
17463716,/home/attacker/output.txt
17463717,/usr/bin/rm
17463717,/lib64/ld-linux-x86-64.so.2
17463718,/usr/bin/sudo
17463718,/lib64/ld-linux-x86-64.so.2
17463720,/etc/sudoers
17463721,/etc/shadow
17463726,/home/attacker/local/nginx/sbin/nginx
17463726,/lib64/ld-linux-x86-64.so.2
17463727,/home/attacker/local/nginx/logs/
17463727,/home/attacker/local/nginx/logs/error.log
17463728,/home/attacker/local/nginx/conf/nginx.conf
17463729,/home/attacker/local/nginx/conf/mime.types
17463730,/home/attacker/local/nginx/logs/nginx.pid
17463731,/home/attacker/local/nginx/logs/
17463731,/home/attacker/local/nginx/logs/nginx.pid
17463732,/usr/bin/sudo
17463732,/lib64/ld-linux-x86-64.so.2
17463734,/etc/sudoers
17463735,/etc/shadow
17463740,/usr/sbin/service
17463740,/bin/sh
17463740,/lib64/ld-linux-x86-64.so.2
17463741,/usr/bin/basename
17463741,/lib64/ld-linux-x86-64.so.2
17463742,/usr/bin/basename
17463742,/lib64/ld-linux-x86-64.so.2
17463743,/usr/bin/systemctl
17463743,/lib64/ld-linux-x86-64.so.2
17463744,/usr/bin/sed
17463744,/lib64/ld-linux-x86-64.so.2
17463745,/usr/bin/systemctl
17463745,/lib64/ld-linux-x86-64.so.2
17463746,/usr/local/sbin/systemctl
17463747,/usr/local/bin/systemctl
17463748,/usr/sbin/systemctl
17463749,/usr/bin/systemctl
17463749,/lib64/ld-linux-x86-64.so.2
